SKU,Descripción,Precio
001.0IMP,Impresión 1 tinta - Serigrafía - MEDIANO y GRANDE,0
005IMP,Impresión 1 tinta - Serigrafía -ESPECIAL,0
002.1IMP,Impresión 1 tinta -Fajilla Carton Bio $/pza *1,0
002.0IMP,Impresión 1 tinta -Vaso PLA clear $/pza *1,0
002.2IMP,Impresión 1 tinta -Vaso PLA clear $/pza *2,0
003.0IMP,Impresión 1 tinta -Vaso PLA clear $/pza *3,0
001.2IMP,Impresión 2 tintas - Serigrafía - CHICO,0
001.3IMP,Impresión 2 tintas - Serigrafía - MEDIANO y GRANDE,0
003.1IMP,Impresión 2 tintas -Vaso PLA clear $/pza *3,0
003.2IMP,Impresión 3 tintas -Vaso PLA clear $/pza *3,0
002.3,Muestra Grafica/Diseño,0
001MADBAP,Agitador de Madera PQTE 500 Pzas. Madera*2,0
001MADBA,"Agitador Madera BOLSA 1,000 Pzas. *2",0
003.1MADBA,Brocheta Bambú c/nudo 10.5 cm BOLSA 100 Pzas. *15,0
004MADBA,Brocheta Bambú c/nudo 12 cm BOLSA 100 Pzas. *15,0
005MADBA,Brocheta Bambú c/nudo 15 cm BOLSA 100 Pzas. *15,0
006.0MADBA,Brocheta Bambú c/nudo 18 cm BOLSA 100 Pzas. *15,0
002MADBA,Brocheta Bambú c/nudo 7 cm BOLSA 100 Pzas. *15,0
003.0MADBA,Brocheta Bambú c/nudo 9 cm BOLSA 100 Pzas. *15,0
006.3MADBA,Brocheta Bambú lisa 15 cm BOLSA 100 Pzas. *15,0
006.4MADBA,Brocheta Bambú lisa 20 cm BOLSA 100 Pzas. *15,0
006.5MADBA,Brocheta Bambú lisa 20 cm BOLSA 100 Pzas. *15,0
015MADBA,"Cuchara Compostable y Biodegradable 16 cm Madera CAJA 1,000 Pzas. *3",0
015MADBAP,Cuchara Compostable y Biodegradable 16 cm Madera PQTE 100 Pzas. *3,0
